City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nhulunbuy,AU,2021-10-10 19:59:07,-12.2333,136.7667,74.01,88,54,0.0
68,Jamestown,US,2021-10-10 19:59:07,42.097,-79.2353,72.52,67,40,8.01
69,Busayra,JO,2021-10-10 19:59:08,30.7376,35.6078,67.42,35,0,1.83
70,Severo-Kurilsk,RU,2021-10-10 19:57:06,50.6789,156.125,47.32,94,100,26.11
71,Mar Del Plata,AR,2021-10-10 19:59:08,-38.0023,-57.5575,60.82,28,20,15.01
72,Warrington,GB,2021-10-10 19:54:22,53.3925,-2.5802,56.26,85,75,1.01
73,Harper,LR,2021-10-10 19:59:08,4.375,-7.7169,77.86,89,97,9.89
74,Fortuna,US,2021-10-10 19:56:39,40.5982,-124.1573,69.42,61,96,4.0
75,Dikson,RU,2021-10-10 19:59:09,73.5069,80.5464,29.89,66,100,22.97
76,Umm Bab,QA,2021-10-10 19:59:09,25.2142,50.8072,84.96,56,0,11.79
77,Hermanus,ZA,2021-10-10 19:59:10,-34.4187,19.2345,64.9,68,97,8.99
78,Londonderry,GB,2021-10-10 19:59:10,54.9981,-7.3093,53.33,87,40,6.91
79,Twin Falls,US,2021-10-10 19:59:10,42.3505,-114.6445,56.3,29,14,17.02
80,Portland,US,2021-10-10 19:56:33,45.5234,-122.6762,60.1,80,100,3.0
81,Bredasdorp,ZA,2021-10-10 19:59:11,-34.5322,20.0403,60.12,77,54,11.5
82,Port Hedland,AU,2021-10-10 19:59:11,-20.3167,118.5667,66.25,68,73,6.91
83,Karratha,AU,2021-10-10 19:59:11,-20.7377,116.8463,72.97,39,10,4.74
84,General Pico,AR,2021-10-10 19:59:12,-35.6566,-63.7568,69.98,50,100,5.82
85,La Primavera,CO,2021-10-10 19:58:28,5.4906,-70.4092,88.43,61,94,3.91
86,Qarayeri,AZ,2021-10-10 19:59:12,40.7886,46.3066,58.08,62,75,4.61
87,Hamilton,US,2021-10-10 19:59:12,39.1834,-84.5333,85.21,62,88,1.01
88,Namatanai,PG,2021-10-10 19:59:13,-3.6667,152.4333,79.11,80,27,3.0
89,San Francisco,US,2021-10-10 19:55:33,37.7749,-122.4194,82.22,65,1,4.0
90,Grindavik,IS,2021-10-10 19:59:13,63.8424,-22.4338,40.95,93,75,3.44
91,Bar Harbor,US,2021-10-10 19:59:13,44.3876,-68.2039,60.28,81,100,6.87
92,Kavaratti,IN,2021-10-10 19:59:14,10.5669,72.642,82.09,82,98,13.65
93,Luau,AO,2021-10-10 19:59:14,-10.7073,22.2247,83.26,27,98,2.64
94,Palmer,US,2021-10-10 19:59:14,42.1584,-72.3287,63.82,70,100,1.99
95,Kruisfontein,ZA,2021-10-10 19:59:05,-34.0033,24.7314,53.51,75,14,7.47
96,Tasiilaq,GL,2021-10-10 19:59:15,65.6145,-37.6368,22.77,59,1,2.59
97,Bilma,NE,2021-10-10 19:59:15,18.6853,12.9164,86.63,10,28,8.08
98,Rio Gallegos,AR,2021-10-10 19:59:15,-51.6226,-69.2181,50.05,57,40,11.5
99,Cherskiy,RU,2021-10-10 19:59:16,68.75,161.3,0.37,98,89,5.68
100,Sitka,US,2021-10-10 19:55:39,57.0531,-135.33,49.17,72,100,3.49
101,Cabra,ES,2021-10-10 19:59:16,37.4725,-4.4421,72.84,55,95,5.06
102,Swan River,CA,2021-10-10 19:59:16,52.1058,-101.2676,64.29,34,3,3.44
103,Birjand,IR,2021-10-10 19:59:17,32.8663,59.2211,45.07,12,0,6.91
104,Gat,IL,2021-10-10 19:59:17,31.61,34.7642,74.39,63,0,5.68
105,Loukhi,RU,2021-10-10 19:59:17,66.0764,33.0381,51.53,97,100,6.76
106,Codrington,AU,2021-10-10 19:59:18,-38.2667,141.9667,47.21,70,76,10.54
107,Arraial Do Cabo,BR,2021-10-10 19:59:18,-22.9661,-42.0278,66.16,94,90,12.66
108,Bridgetown,BB,2021-10-10 19:58:34,13.1,-59.6167,82.89,78,40,19.57
109,Butaritari,KI,2021-10-10 19:59:19,3.0707,172.7902,81.23,70,65,11.32
110,Traralgon,AU,2021-10-10 19:59:19,-38.1833,146.5333,42.91,92,34,2.44
111,Mackay,AU,2021-10-10 19:59:19,-21.15,149.2,68.04,94,25,4.61
112,Kavieng,PG,2021-10-10 19:59:20,-2.5744,150.7967,81.88,76,52,6.91
113,Neiafu,TO,2021-10-10 19:59:20,-18.65,-173.9833,72.28,94,75,3.44
114,Benguela,AO,2021-10-10 19:59:20,-12.5763,13.4055,74.21,83,98,1.28
115,Vostok,RU,2021-10-10 19:59:20,46.4856,135.8833,37.4,90,100,15.43
116,Lavrentiya,RU,2021-10-10 19:59:21,65.5833,-171.0,28.02,81,26,3.44
117,Nouakchott,MR,2021-10-10 19:57:49,18.0858,-15.9785,80.53,60,0,19.69
118,Sao Filipe,CV,2021-10-10 19:59:21,14.8961,-24.4956,81.39,70,0,5.61
119,Necochea,AR,2021-10-10 19:58:40,-38.5473,-58.7368,63.1,71,63,13.0
120,Yerbogachen,RU,2021-10-10 19:59:22,61.2767,108.0108,30.94,80,99,11.97
121,Nuuk,GL,2021-10-10 19:59:22,64.1835,-51.7216,34.88,69,100,5.01
122,Mujiayingzi,CN,2021-10-10 19:59:22,42.1167,118.7833,40.24,45,0,6.87
123,Aklavik,CA,2021-10-10 19:59:23,68.2191,-135.0107,30.92,86,75,5.75
124,Hargeysa,SO,2021-10-10 19:59:23,9.56,44.065,73.09,64,75,12.03
125,Owase,JP,2021-10-10 19:59:23,34.0667,136.2,68.94,87,0,3.98
126,Sechura,PE,2021-10-10 19:59:21,-5.5569,-80.8222,77.2,60,27,16.42
127,Yafran,LY,2021-10-10 19:59:24,32.0633,12.5286,65.01,67,0,13.6
128,Banyo,CM,2021-10-10 19:59:24,6.75,11.8167,64.31,96,100,3.8
129,Komsomolskiy,UZ,2021-10-10 19:59:24,40.4272,71.7189,48.92,76,31,4.61
130,Le Mans,FR,2021-10-10 19:55:26,48.0,0.2,57.13,77,0,5.75
131,Ourinhos,BR,2021-10-10 19:59:25,-22.9789,-49.8706,65.07,84,100,8.46
132,Kenai,US,2021-10-10 19:59:25,60.5544,-151.2583,47.08,78,17,6.58
133,Kahului,US,2021-10-10 19:59:11,20.8947,-156.47,81.84,83,66,11.99
134,Lorengau,PG,2021-10-10 19:59:26,-2.0226,147.2712,80.55,77,99,3.42
135,Shiyan,CN,2021-10-10 19:59:26,32.6475,110.7781,50.97,94,100,1.19
136,Georgetown,MY,2021-10-10 19:57:20,5.4112,100.3354,79.9,87,20,3.0
137,Quang Ngai,VN,2021-10-10 19:59:26,15.1167,108.8,76.05,93,96,3.65
138,Leshukonskoye,RU,2021-10-10 19:59:27,64.8989,45.7622,46.89,97,100,8.01
139,Varberg,SE,2021-10-10 19:59:27,57.1056,12.2508,55.4,83,41,18.3
